# Черновые географические центры для мирового слоя регионов v1
# Формат: название региона|долгота|широта
# Иберия сюда не входит: там используется уже утверждённая явная привязка провинция -> регион.
Дельта Меконга|105.5|10.5
Долина Красной реки|105.5|21.0
Центральный Таиланд|100.5|15.0
Малайский полуостров|102.0|5.0
Нагорья Индокитая|103.0|18.0
Филиппинский Лусон|121.0|16.0
Южные Филиппины|124.0|8.0
Ява|110.0|-7.0
Суматра|102.0|0.0
Борнео|114.0|1.0
Сулавеси|121.0|-2.0
Малые Зондские острова|120.0|-9.0
Молукки и Папуа|132.0|-3.0
Дельта Нила|31.0|30.5
Долина Нила|31.0|25.0
Киренаика|22.0|31.0
Ифрикия|10.0|35.0
Алжирское побережье|3.0|36.0
Марокканское побережье|-7.0|33.5
Атлас|-4.0|31.0
Сахара|10.0|24.0
Западный Сахель|-8.0|15.0
Средний Нигер|1.0|15.0
Сенегамбия|-15.0|14.0
Верхняя Гвинея|-10.0|9.0
Золотой Берег|-1.0|7.0
Бенинский залив|4.0|7.0
Хаусаленд|8.0|12.0
Озеро Чад|14.0|13.0
Камерунское нагорье|11.0|6.0
Бассейн Конго|21.0|0.0
Нижнее Конго|14.0|-5.0
Ангольское нагорье|17.0|-12.0
Эфиопское нагорье|39.0|9.0
Эритрейское побережье|40.0|15.0
Африканский Рог|46.0|7.0
Суданская долина Нила|32.0|15.0
Великие озёра|30.0|-2.0
Кенийское нагорье|37.0|0.0
Побережье Суахили|40.0|-6.0
Танзанийское плато|34.0|-7.0
Замбези|28.0|-16.0
Южноафриканский Хайвельд|28.0|-27.0
Капская область|20.0|-33.0
Натал и Драконовы горы|30.0|-29.0
Калахари и Намиб|20.0|-23.0
Мадагаскарское нагорье|47.0|-19.0
Мадагаскарское побережье|49.0|-18.0
Новая Англия|-71.0|43.0
Среднеатлантическое побережье|-76.0|40.0
Аппалачи|-81.0|37.0
Юго-Восток США|-84.0|33.0
Флорида|-82.0|28.0
Район Великих озёр|-85.0|44.0
Долина Миссисипи|-91.0|35.0
Великие равнины|-100.0|42.0
Техас и нижний Рио-Гранде|-99.0|30.0
Скалистые горы|-111.0|43.0
Межгорный Запад|-116.0|39.0
Юго-Западные пустыни|-112.0|34.0
Калифорнийское побережье|-120.0|36.0
Тихоокеанский Северо-Запад|-122.0|47.0
Канадский населённый коридор|-78.0|46.0
Канадские прерии|-106.0|52.0
Британская Колумбия|-124.0|54.0
Канадский щит|-88.0|56.0
Лабрадор и север Квебека|-67.0|57.0
Арктическая Канада|-100.0|69.0
Аляска|-150.0|64.0
Центральная Мексика|-99.0|20.0
Мексиканское побережье Мексиканского залива|-96.0|20.0
Тихоокеанское побережье Мексики|-105.0|20.0
Северная Мексика|-103.0|27.0
Юкатан|-89.0|20.0
Гватемальское нагорье|-90.5|15.5
Центральноамериканский перешеек|-84.0|10.0
Большие Антильские острова|-75.0|19.0
Малые Антильские острова|-62.0|15.0
Карибское побережье Новой Гранады|-74.0|10.0
Колумбийские Анды|-74.0|5.0
Венесуэльские Льянос|-67.0|8.0
Гвианское нагорье|-60.0|5.0
Эквадорские Анды|-78.5|-1.5
Перуанское побережье|-77.0|-11.0
Перуанские Анды|-73.0|-12.0
Альтиплано|-68.0|-17.0
Амазонская сельва|-60.0|-3.0
Верхняя Амазонка|-72.0|-5.0
Северо-Восточная Бразилия|-40.0|-8.0
Юго-Восточная Бразилия|-45.0|-22.0
Южная Бразилия|-51.0|-28.0
Бразильское внутреннее плато|-49.0|-15.0
Пантанал|-57.0|-17.0
Гран-Чако|-61.0|-24.0
Пампа|-61.0|-35.0
Месопотамия Южной Америки|-58.0|-30.0
Патагония|-68.0|-44.0
Огненная Земля|-68.0|-54.0
Центральное Чили|-71.0|-33.0
Южные Анды|-72.0|-45.0
Юго-Восточная Австралия|146.0|-36.0
Восточное побережье Австралии|153.0|-27.0
Юго-Западная Австралия|116.0|-32.0
Внутренняя Австралия|133.0|-25.0
Северная Австралия|134.0|-15.0
Тасмания|147.0|-42.0
Северный остров Новой Зеландии|175.0|-38.0
Южный остров Новой Зеландии|170.0|-44.0
Высокогорья Новой Гвинеи|145.0|-6.0
Побережье Новой Гвинеи|147.0|-4.0
Меланезийские острова|165.0|-15.0
Полинезийские острова|-160.0|-15.0
Микронезийские острова|145.0|7.0
