# world_region_cell_profiles_source/v1
# source=ТАБЛИЦА_РЕГИОНАЛЬНЫХ_ПРОФИЛЕЙ_КЛЕТОК(1).xlsx
# name|macroregion|continent|profile|target_km2|min|max|historical_density|geographic_complexity|scope
Лангедок|Франция|Европа|P3|2200|1|12|1.15|1.15|world
Прованс|Франция|Европа|P3|1700|1|12|1.35|1.25|world
Савойя и Дофине|Франция|Европа|P3|1900|1|12|1.15|1.3|world
Ломбардия|Италия|Европа|P1|800|1|12|2|1.1|world
Пьемонт|Италия|Европа|P2|1200|1|12|1.6|1.2|world
Лигурия|Италия|Европа|P1|800|1|10|1.65|1.35|world
Венето и Фриули|Италия|Европа|P1|900|1|12|1.85|1.15|world
Эмилия-Романья|Италия|Европа|P1|1000|1|12|1.8|1.05|world
Тоскана|Италия|Европа|P2|1200|1|12|1.65|1.15|world
Папская область|Италия|Европа|P2|1450|1|12|1.5|1.15|world
Абруцци и Марке|Италия|Европа|P3|1700|1|12|1.2|1.25|world
Кампания|Италия|Европа|P2|1200|1|12|1.7|1.2|world
Апулия и Базиликата|Италия|Европа|P3|1900|1|12|1.15|1.1|world
Калабрия|Италия|Европа|P3|1700|1|10|1|1.3|world
Сицилия|Италия|Европа|P3|1800|1|12|1.25|1.2|world
Сардиния и Корсика|Италия|Европа|P4|3000|1|10|0.75|1.25|world
Рейнская область|Центральная Европа|Европа|P2|1200|1|12|1.7|1.1|world
Вестфалия|Центральная Европа|Европа|P3|1600|1|12|1.45|1.05|world
Гессен|Центральная Европа|Европа|P3|1800|1|12|1.35|1.1|world
Бавария и Франкония|Центральная Европа|Европа|P3|1900|1|14|1.25|1.15|world
Швабия|Центральная Европа|Европа|P3|1700|1|12|1.35|1.15|world
Саксония и Тюрингия|Центральная Европа|Европа|P3|1600|1|12|1.45|1.1|world
Бранденбург|Центральная Европа|Европа|P4|2800|1|14|0.95|1.05|world
Померания и Мекленбург|Центральная Европа|Европа|P4|3000|1|12|0.85|1.1|world
Богемия|Центральная Европа|Европа|P3|1500|1|12|1.5|1.15|world
Моравия и Силезия|Центральная Европа|Европа|P3|1600|1|12|1.45|1.1|world
Австрийские земли|Центральная Европа|Европа|P3|1800|1|12|1.3|1.25|world
Швейцария|Центральная Европа|Европа|P2|1400|1|12|1.35|1.35|world
Венгерская низменность|Центральная Европа|Европа|P3|2400|1|14|1.15|1|world
Трансильвания|Центральная Европа|Европа|P4|3000|1|14|0.9|1.25|world
Дания|Скандинавия|Европа|P2|1100|1|10|1.45|1.25|world
Южная Швеция|Скандинавия|Европа|P3|2600|1|12|1|1.1|world
Центральная Швеция|Скандинавия|Европа|P5|7000|1|12|0.55|1.1|world
Северная Скандинавия|Скандинавия|Европа|P6|16000|1|12|0.25|1.2|world
Южная Норвегия|Скандинавия|Европа|P4|4500|1|12|0.75|1.35|world
Северная Норвегия|Скандинавия|Европа|P6|14000|1|10|0.3|1.35|world
Южная Финляндия|Скандинавия|Европа|P4|4500|1|12|0.75|1.15|world
Северная Финляндия|Скандинавия|Европа|P6|20000|1|10|0.2|1.15|world
Западная Польша|Восточная Европа|Европа|P3|2200|1|14|1.2|1.05|world
Малая Польша|Восточная Европа|Европа|P3|1800|1|14|1.35|1.15|world
Мазовия и Подляшье|Восточная Европа|Европа|P4|3000|1|14|1|1.05|world
Литва|Восточная Европа|Европа|P4|3600|1|12|0.8|1.1|world
Ливония и Эстония|Восточная Европа|Европа|P4|3300|1|12|0.85|1.15|world
Беларусь|Восточная Европа|Европа|P4|4200|1|14|0.75|1.05|world
Правобережная Украина|Восточная Европа|Европа|P4|3800|1|16|1|1|world
Левобережная Украина|Восточная Европа|Европа|P4|4800|1|16|0.9|1|world
Причерноморская степь|Восточная Европа|Европа|P5|7000|1|16|0.6|0.95|world
Молдавия|Восточная Европа|Европа|P3|2200|1|12|1.1|1.1|world
Словения и Хорватское ядро|Балканы|Европа|P3|1800|1|12|1.2|1.25|world
Далматинское побережье|Балканы|Европа|P2|1300|1|10|1.2|1.4|world
Босния и Герцеговина|Балканы|Европа|P3|2300|1|12|0.95|1.3|world
Сербия и Шумадия|Балканы|Европа|P3|2500|1|14|1|1.15|world
Болгария|Балканы|Европа|P3|2800|1|14|0.95|1.2|world
Валахия и Добруджа|Балканы|Европа|P4|3200|1|14|0.9|1.05|world
Македония и Фракия|Балканы|Европа|P3|2200|1|14|1.05|1.25|world
Материковая Греция|Балканы|Европа|P3|1700|1|12|1.15|1.35|world
Греческие острова|Балканы|Европа|P1|800|1|8|1.25|1.4|world
Центральная Россия|Европейская Россия|Европа|P5|6500|1|16|0.75|1|world
Северо-Западная Россия|Европейская Россия|Европа|P5|8500|1|14|0.6|1.1|world
Поволжье|Европейская Россия|Европа|P5|9000|1|16|0.65|1.05|world
Южная Россия и Предкавказье|Европейская Россия|Европа|P5|7000|1|16|0.75|1.1|world
Урал|Европейская Россия|Европа|P6|16000|1|14|0.35|1.25|world
Русский Север|Европейская Россия|Европа|P7|35000|1|12|0.2|1.05|world
Западная Анатолия|Малая Азия|Азия|P3|2500|1|14|1.15|1.15|world
Центральная Анатолия|Малая Азия|Азия|P4|4500|1|14|0.8|1.05|world
Восточная Анатолия|Малая Азия|Азия|P5|6500|1|14|0.55|1.25|world
Армянское нагорье|Кавказ|Азия|P5|5500|1|12|0.7|1.35|world
Грузия и Закавказье|Кавказ|Азия|P3|2400|1|14|1.05|1.35|world
Северный Кавказ|Кавказ|Азия|P4|4000|1|14|0.85|1.35|world
Левантийское побережье|Левант|Азия|P2|1400|1|12|1.55|1.15|world
Внутренний Левант|Левант|Азия|P3|2500|1|12|1.1|1.1|world
Верхняя Месопотамия|Месопотамия|Азия|P3|2600|1|14|1.2|1.1|world
Нижняя Месопотамия|Месопотамия|Азия|P2|1800|1|14|1.55|1.05|world
Хиджаз|Аравия|Азия|P5|7000|1|12|0.6|1.15|world
Йеменское нагорье|Аравия|Азия|P4|3800|1|14|1|1.3|world
Оманское побережье|Аравия|Азия|P5|6500|1|12|0.65|1.2|world
Персидский залив — побережье|Аравия|Азия|P5|6000|1|12|0.75|1.1|world
Внутренняя Аравия|Аравия|Азия|P8|60000|1|10|0.08|0.95|world
Фарс и Хузестан|Иран|Азия|P4|4200|1|14|1|1.15|world
Центральное Иранское плато|Иран|Азия|P5|7000|1|14|0.65|1.15|world
Хорасан|Иран|Азия|P5|8500|1|14|0.55|1.15|world
Каспийское побережье|Иран|Азия|P3|2200|1|12|1.2|1.25|world
Хорезм и нижняя Амударья|Центральная Азия|Азия|P4|4500|1|12|1|1.05|world
Ферганская долина|Центральная Азия|Азия|P2|1300|1|12|1.7|1.2|world
Мавераннахр|Центральная Азия|Азия|P4|4200|1|14|1.05|1.05|world
Казахская степь|Центральная Азия|Азия|P6|22000|1|14|0.3|1|world
Туркменские пустыни|Центральная Азия|Азия|P7|45000|1|10|0.15|1|world
Тянь-Шань|Центральная Азия|Азия|P6|14000|1|12|0.35|1.35|world
Памир|Центральная Азия|Азия|P7|30000|1|10|0.15|1.4|world
Южная Сибирь|Сибирь|Азия|P7|45000|1|14|0.25|1.1|world
Западносибирская тайга|Сибирь|Азия|P8|100000|1|12|0.1|1|world
Центральная сибирская тайга|Сибирь|Азия|P8|150000|1|12|0.08|1|world
Якутия|Сибирь|Азия|P8|180000|1|12|0.05|1.05|world
Арктическая Сибирь|Сибирь|Азия|P8|220000|1|10|0.03|1|world
Прибайкалье|Сибирь|Азия|P7|35000|1|14|0.25|1.25|world
Забайкалье|Сибирь|Азия|P7|45000|1|14|0.2|1.2|world
Амур и Приморье|Дальний Восток|Азия|P6|18000|1|14|0.45|1.25|world
Камчатка и Чукотка|Дальний Восток|Азия|P8|90000|1|10|0.08|1.35|world
Северокитайская равнина|Китай|Азия|P2|1600|1|16|1.75|1|world
Шаньдун|Китай|Азия|P2|1300|1|14|1.8|1.1|world
Дельта Янцзы|Китай|Азия|P1|750|1|12|2.1|1.1|world
Средняя Янцзы|Китай|Азия|P2|1500|1|16|1.7|1.1|world
Сычуаньская котловина|Китай|Азия|P2|1500|1|16|1.75|1.15|world
Южнокитайское побережье|Китай|Азия|P2|1200|1|14|1.7|1.2|world
Юньнань и Гуйчжоу|Китай|Азия|P4|3600|1|16|1|1.3|world
Лёссовое плато|Китай|Азия|P4|3500|1|16|1.1|1.15|world
Маньчжурия|Китай|Азия|P5|8000|1|16|0.75|1.05|world
Внутренняя Монголия|Китай|Азия|P7|35000|1|14|0.2|1|world
Синьцзянские оазисы|Китай|Азия|P6|16000|1|14|0.4|1.15|world
Такла-Макан и Джунгария|Китай|Азия|P8|70000|1|10|0.08|1.1|world
Тибет|Китай|Азия|P7|45000|1|10|0.1|1.2|world
Монголия|Монголия|Азия|P8|70000|1|12|0.08|1|world
Корейский север|Корея|Азия|P3|2200|1|14|1.15|1.25|world
Корейский юг|Корея|Азия|P2|1300|1|14|1.65|1.2|world
Канто|Япония|Азия|P0|500|3|8|2.5|1.15|world
Кансай|Япония|Азия|P1|700|1|12|2.1|1.2|world
Центральный Хонсю|Япония|Азия|P2|1100|1|14|1.7|1.3|world
Северный Хонсю|Япония|Азия|P3|2200|1|12|1.05|1.25|world
Кюсю и Сикоку|Япония|Азия|P2|1200|1|14|1.55|1.3|world
Хоккайдо|Япония|Азия|P4|4500|1|12|0.6|1.15|world
Пенджаб|Индия|Азия|P2|1400|1|16|1.8|1|world
Верхняя Гангская равнина|Индия|Азия|P2|1300|1|18|1.9|1|world
Средняя Гангская равнина|Индия|Азия|P1|950|1|18|2|1|world
Бенгальская дельта|Индия|Азия|P1|850|1|14|2|1.2|world
Раджастхан|Индия|Азия|P6|12000|1|14|0.45|1.05|world
Гуджарат|Индия|Азия|P3|2400|1|14|1.25|1.15|world
Декан|Индия|Азия|P4|3200|1|18|1.15|1.1|world
Малабарское побережье|Индия|Азия|P2|1200|1|14|1.6|1.25|world
Тамильское побережье|Индия|Азия|P2|1400|1|14|1.55|1.15|world
Центральная Индия|Индия|Азия|P4|4500|1|16|0.9|1.15|world
Ассам и Брахмапутра|Индия|Азия|P3|2300|1|14|1.1|1.3|world
Гималаи|Индия|Азия|P6|14000|1|12|0.3|1.35|world
Долина Инда|Индостан|Азия|P3|2600|1|16|1.25|1.05|world
Белуджистан|Индостан|Азия|P7|30000|1|12|0.18|1.25|world
Кабул и Гиндукуш|Индостан|Азия|P6|12000|1|14|0.4|1.35|world
Иравади|Юго-Восточная Азия|Азия|P3|2200|1|16|1.3|1.1|world
Дельта Меконга|Юго-Восточная Азия|Азия|P2|1000|1|14|1.9|1.15|world
Долина Красной реки|Юго-Восточная Азия|Азия|P2|1100|1|14|1.85|1.15|world
Центральный Таиланд|Юго-Восточная Азия|Азия|P2|1400|1|14|1.65|1.1|world
Малайский полуостров|Юго-Восточная Азия|Азия|P3|2200|1|14|1.25|1.25|world
Нагорья Индокитая|Юго-Восточная Азия|Азия|P4|4500|1|14|0.75|1.25|world
Филиппинский Лусон|Юго-Восточная Азия|Азия|P3|2000|1|14|1.35|1.3|world
Южные Филиппины|Юго-Восточная Азия|Азия|P4|3000|1|12|0.95|1.35|world
Ява|Индонезия|Азия|P1|700|1|14|2.1|1.2|world
Суматра|Индонезия|Азия|P4|3500|1|14|0.9|1.2|world
Борнео|Индонезия|Азия|P5|9000|1|14|0.45|1.15|world
Сулавеси|Индонезия|Азия|P4|3000|1|14|0.85|1.4|world
Малые Зондские острова|Индонезия|Азия|P3|1800|1|10|0.95|1.4|world
Молукки и Папуа|Индонезия|Азия|P5|7000|1|12|0.45|1.4|world
Дельта Нила|Северная Африка|Африка|P1|850|1|12|2|1.1|world
Долина Нила|Северная Африка|Африка|P2|1300|1|14|1.75|1.05|world
Киренаика|Северная Африка|Африка|P6|14000|1|12|0.35|1.1|world
Ифрикия|Северная Африка|Африка|P4|3500|1|14|1|1.15|world
Алжирское побережье|Северная Африка|Африка|P4|4000|1|14|0.95|1.2|world
Марокканское побережье|Северная Африка|Африка|P4|3500|1|14|1|1.15|world
Атлас|Северная Африка|Африка|P5|6000|1|12|0.6|1.3|world
Сахара|Северная Африка|Африка|P8|120000|1|10|0.04|1|world
Западный Сахель|Западная Африка|Африка|P6|18000|1|14|0.35|1|world
Средний Нигер|Западная Африка|Африка|P5|8000|1|16|0.7|1.05|world
Сенегамбия|Западная Африка|Африка|P4|5000|1|14|0.95|1.1|world
Верхняя Гвинея|Западная Африка|Африка|P5|7000|1|14|0.75|1.2|world
Золотой Берег|Западная Африка|Африка|P4|4500|1|14|1.05|1.15|world
Бенинский залив|Западная Африка|Африка|P4|4000|1|16|1.15|1.1|world
Хаусаленд|Западная Африка|Африка|P4|5500|1|16|1.05|1|world
Озеро Чад|Центральная Африка|Африка|P6|16000|1|14|0.45|1.05|world
Камерунское нагорье|Центральная Африка|Африка|P5|6500|1|14|0.85|1.3|world
Бассейн Конго|Центральная Африка|Африка|P7|35000|1|14|0.2|1.1|world
Нижнее Конго|Центральная Африка|Африка|P5|9000|1|14|0.65|1.15|world
Ангольское нагорье|Центральная Африка|Африка|P6|16000|1|14|0.4|1.2|world
Эфиопское нагорье|Восточная Африка|Африка|P5|6500|1|14|0.75|1.3|world
Эритрейское побережье|Восточная Африка|Африка|P6|14000|1|12|0.45|1.2|world
Африканский Рог|Восточная Африка|Африка|P6|22000|1|12|0.3|1.1|world
Суданская долина Нила|Восточная Африка|Африка|P5|9000|1|14|0.65|1.05|world
Великие озёра|Восточная Африка|Африка|P4|4500|1|16|1.1|1.2|world
Кенийское нагорье|Восточная Африка|Африка|P5|7000|1|14|0.85|1.25|world
Побережье Суахили|Восточная Африка|Африка|P5|7000|1|14|0.7|1.15|world
Танзанийское плато|Восточная Африка|Африка|P6|13000|1|14|0.45|1.1|world
Замбези|Южная Африка|Африка|P6|14000|1|14|0.5|1.1|world
Южноафриканский Хайвельд|Южная Африка|Африка|P5|9000|1|16|0.75|1.05|world
Капская область|Южная Африка|Африка|P4|5000|1|14|1|1.2|world
Натал и Драконовы горы|Южная Африка|Африка|P5|7000|1|14|0.85|1.3|world
Калахари и Намиб|Южная Африка|Африка|P7|50000|1|12|0.12|1|world
Мадагаскарское нагорье|Мадагаскар|Африка|P5|9000|1|14|0.65|1.2|world
Мадагаскарское побережье|Мадагаскар|Африка|P6|14000|1|12|0.45|1.2|world
Новая Англия|Северо-Восток Северной Америки|Америка|P3|2300|1|14|1.35|1.15|world
Среднеатлантическое побережье|Северо-Восток Северной Америки|Америка|P3|2200|1|14|1.5|1.05|world
Аппалачи|Восток Северной Америки|Америка|P5|7000|1|14|0.7|1.3|world
Юго-Восток США|Восток Северной Америки|Америка|P4|5500|1|16|0.95|1.05|world
Флорида|Восток Северной Америки|Америка|P4|4500|1|14|1|1.2|world
Район Великих озёр|Центр Северной Америки|Америка|P4|5000|1|16|1|1.05|world
Долина Миссисипи|Центр Северной Америки|Америка|P5|7000|1|16|0.85|1|world
Великие равнины|Центр Северной Америки|Америка|P6|13000|1|16|0.55|0.95|world
Техас и нижний Рио-Гранде|Юг Северной Америки|Америка|P5|9000|1|16|0.8|1|world
Скалистые горы|Запад Северной Америки|Америка|P6|22000|1|14|0.35|1.3|world
Межгорный Запад|Запад Северной Америки|Америка|P7|30000|1|12|0.2|1.15|world
Юго-Западные пустыни|Запад Северной Америки|Америка|P7|30000|1|12|0.2|1.05|world
Калифорнийское побережье|Запад Северной Америки|Америка|P4|4200|1|14|1.2|1.2|world
Тихоокеанский Северо-Запад|Запад Северной Америки|Америка|P5|7000|1|14|0.85|1.25|world
Канадский населённый коридор|Канада|Америка|P5|9000|1|16|0.75|1.05|world
Канадские прерии|Канада|Америка|P6|18000|1|14|0.4|0.95|world
Британская Колумбия|Канада|Америка|P6|18000|1|14|0.45|1.35|world
Канадский щит|Канада|Америка|P7|50000|1|12|0.15|1.05|world
Лабрадор и север Квебека|Канада|Америка|P8|90000|1|10|0.07|1.1|world
Арктическая Канада|Канада|Америка|P8|180000|1|10|0.03|1|world
Аляска|Канада|Америка|P8|110000|1|12|0.08|1.2|world
Центральная Мексика|Мексика|Америка|P4|3500|1|16|1.2|1.15|world
Мексиканское побережье Мексиканского залива|Мексика|Америка|P4|5000|1|14|1|1.15|world
Тихоокеанское побережье Мексики|Мексика|Америка|P5|6500|1|14|0.85|1.25|world
Северная Мексика|Мексика|Америка|P6|14000|1|14|0.45|1.05|world
Юкатан|Мексика|Америка|P5|7000|1|14|0.7|1.05|world
Гватемальское нагорье|Центральная Америка|Америка|P4|3500|1|14|1.1|1.3|world
Центральноамериканский перешеек|Центральная Америка|Америка|P4|3200|1|14|1|1.3|world
Большие Антильские острова|Карибы|Америка|P2|1400|1|12|1.35|1.35|world
Малые Антильские острова|Карибы|Америка|P1|700|1|6|1.2|1.5|world
Карибское побережье Новой Гранады|Северные Анды|Америка|P4|4500|1|14|1.05|1.2|world
Колумбийские Анды|Северные Анды|Америка|P4|4000|1|16|1.1|1.4|world
Венесуэльские Льянос|Север Южной Америки|Америка|P6|15000|1|14|0.4|0.95|world
Гвианское нагорье|Север Южной Америки|Америка|P6|22000|1|12|0.25|1.2|world
Эквадорские Анды|Центральные Анды|Америка|P4|4500|1|14|1|1.4|world
Перуанское побережье|Центральные Анды|Америка|P5|8000|1|14|0.7|1.15|world
Перуанские Анды|Центральные Анды|Америка|P5|9000|1|14|0.65|1.4|world
Альтиплано|Центральные Анды|Америка|P6|16000|1|14|0.45|1.25|world
Амазонская сельва|Амазония|Америка|P7|45000|1|14|0.15|1.1|world
Верхняя Амазонка|Амазония|Америка|P7|35000|1|14|0.2|1.2|world
Северо-Восточная Бразилия|Бразилия|Америка|P5|8000|1|16|0.75|1.05|world
Юго-Восточная Бразилия|Бразилия|Америка|P4|5000|1|16|1.1|1.1|world
Южная Бразилия|Бразилия|Америка|P5|7000|1|16|0.9|1.05|world
Бразильское внутреннее плато|Бразилия|Америка|P6|14000|1|16|0.5|1.05|world
Пантанал|Бразилия|Америка|P6|18000|1|12|0.3|1.05|world
Гран-Чако|Южная Америка|Америка|P6|18000|1|14|0.35|1|world
Пампа|Южная Америка|Америка|P5|9000|1|16|0.75|0.95|world
Месопотамия Южной Америки|Южная Америка|Америка|P5|7000|1|14|0.85|1.05|world
Центральное Чили|Южные Анды|Америка|P4|4500|1|14|1.1|1.25|world
Южные Анды|Южные Анды|Америка|P6|16000|1|12|0.4|1.4|world
Патагония|Южная Америка|Америка|P7|35000|1|12|0.15|1.05|world
Огненная Земля|Южная Америка|Америка|P7|25000|1|8|0.15|1.35|world
Юго-Восточная Австралия|Австралия|Океания|P5|9000|1|16|0.85|1.05|world
Восточное побережье Австралии|Австралия|Океания|P5|7000|1|16|0.9|1.15|world
Юго-Западная Австралия|Австралия|Океания|P6|14000|1|14|0.5|1.05|world
Внутренняя Австралия|Австралия|Океания|P8|120000|1|12|0.05|1|world
Северная Австралия|Австралия|Океания|P7|35000|1|12|0.15|1.05|world
Тасмания|Австралия|Океания|P5|7000|1|10|0.65|1.25|world
Северный остров Новой Зеландии|Новая Зеландия|Океания|P4|4500|1|14|1|1.2|world
Южный остров Новой Зеландии|Новая Зеландия|Океания|P5|7500|1|12|0.55|1.3|world
Высокогорья Новой Гвинеи|Меланезия|Океания|P5|9000|1|14|0.65|1.35|world
Побережье Новой Гвинеи|Меланезия|Океания|P6|14000|1|12|0.45|1.25|world
Меланезийские острова|Островная Океания|Океания|P3|2200|1|10|0.8|1.45|world
Полинезийские острова|Островная Океания|Океания|P1|500|1|6|0.8|1.5|world
Микронезийские острова|Островная Океания|Океания|P1|400|1|5|0.7|1.5|world
Галисия|Иберия|Европа|P3|2100|1|10|1.3|1.15|iberia
Астурия|Иберия|Европа|P3|1800|1|10|1.1|1.25|iberia
Кантабрийско-Баскское побережье|Иберия|Европа|P2|1300|1|12|1.55|1.25|iberia
Наварра|Иберия|Европа|P3|1900|1|10|1.2|1.2|iberia
Леон|Иберия|Европа|P4|3000|1|12|0.9|1.05|iberia
Старая Кастилия|Иберия|Европа|P4|2800|1|14|1|1.05|iberia
Новая Кастилия|Иберия|Европа|P3|2400|1|14|1.2|1.05|iberia
Ла-Манча|Иберия|Европа|P4|4300|1|12|0.75|0.95|iberia
Эстремадура|Иберия|Европа|P4|4200|1|12|0.75|1|iberia
Арагон|Иберия|Европа|P4|3200|1|14|0.95|1.15|iberia
Каталония|Иберия|Европа|P2|1300|1|12|1.65|1.2|iberia
Валенсия|Иберия|Европа|P2|1450|1|12|1.5|1.15|iberia
Мурсия|Иберия|Европа|P3|2200|1|10|1.1|1.1|iberia
Верхняя Андалусия|Иберия|Европа|P3|2300|1|14|1.15|1.25|iberia
Нижняя Андалусия|Иберия|Европа|P2|1700|1|14|1.45|1.15|iberia
Балеарские острова|Иберия|Европа|P1|900|1|8|1.3|1.35|iberia
Минью|Иберия|Европа|P2|1350|1|10|1.55|1.15|iberia
Траз-уш-Монтиш|Иберия|Европа|P4|2800|1|10|0.85|1.2|iberia
Бейра-Литорал|Иберия|Европа|P3|1700|1|12|1.35|1.15|iberia
Бейра-Интериор|Иберия|Европа|P4|3000|1|10|0.85|1.15|iberia
Эштремадура-и-Рибатежу|Иберия|Европа|P2|1500|1|12|1.55|1.15|iberia
Алентежу|Иберия|Европа|P4|4000|1|12|0.7|0.95|iberia
Алгарве|Иберия|Европа|P3|1700|1|10|1.2|1.2|iberia
